"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Trustv7.nlogo"
"TimeSeries_Baseline"
"03/01/2026 12:59:33:523 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-humans","num-robots","initial-tasks","initial-trust","robot-reliability","robot-autonomy","robot-transparency","robot-comm-frequency","collaboration-rate","delegation-sensitivity","max-ticks","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","get-delegation-rate","get-human-idle-rate","get-monitoring-stress","get-active-stress","get-mean-kalman-gain","get-mean-trust-covariance"
"3","3","3","30","50","90","70","50","50","50","0.5","2000","260","90.84879451102417","11","100","36.84974423914247","91.66666666666666","12.5","33.33333333333333","9.090909090909092","50.729161813259154","0.22845724350028926","2.9632505599714727"
"6","3","3","30","50","90","70","50","50","50","0.5","2000","180","91.80141835659417","9","83.33333333333334","41.733542610735604","100","14.285714285714285","33.33333333333333","9.090909090909092","58.054859370648856","0.23216635173310263","3.026293458401627"
"8","3","3","30","50","90","70","50","50","50","0.5","2000","300","87.2745972290902","17","100","49.87251306021594","80.95238095238095","6.666666666666667","0","0","49.87251306021594","0.29378789527349175","4.392439200680561"
"5","3","3","30","50","90","70","50","50","50","0.5","2000","260","90.89128968718086","10","100","58.4245319524563","90.9090909090909","16.666666666666664","0","0","58.4245319524563","0.24057003029701016","3.1692995126797983"
"4","3","3","30","50","90","70","50","50","50","0.5","2000","160","90.2161717801697","9","50","59.8658414568797","100","0","0","0","0","0.240927039742821","3.1740362702478606"
"2","3","3","30","50","90","70","50","50","50","0.5","2000","280","90.3583885629876","11","100","65.51366106770307","84.61538461538461","0","0","0","65.51366106770307","0.24486213448053373","3.2427443240370195"
"7","3","3","30","50","90","70","50","50","50","0.5","2000","300","90.45169141329883","13","100","54.35067827008029","76.47058823529412","0","0","0","54.35067827008029","0.23717888186342354","3.109710172629468"
"9","3","3","30","50","90","70","50","50","50","0.5","2000","280","90.32555385630816","11","100","70.02489943251679","84.61538461538461","16.666666666666664","0","0","70.02489943251679","0.24655242944431274","3.272693569717429"
"3","3","3","30","50","90","70","50","50","50","0.5","2000","280","90.65234832865559","11","100","36.849744239205165","91.66666666666666","12.5","33.33333333333333","9.090909090909092","50.72916181335321","0.22894531964270173","2.9714294108014365"
"1","3","3","30","50","90","70","50","50","50","0.5","2000","260","91.20363479629395","11","83.33333333333334","42.42283873670414","73.33333333333333","0","0","0","42.42283873670414","0.23150882680427287","3.015545511073087"
"6","3","3","30","50","90","70","50","50","50","0.5","2000","200","90.54532714921233","10","100","38.439049225482414","100","22.22222222222222","33.33333333333333","9.090907919752194","53.113119878347526","0.2301604018635041","2.9921454524124633"
"8","3","3","30","50","90","70","50","50","50","0.5","2000","320","90.77207981223675","20","100","40.74452654050341","83.33333333333334","5.88235294117647","0","0","40.74452654050341","0.23306148469743823","3.0411880351543634"
